Date,APDFX,ASFYX,CASH,DSMC,GQGIX,IAGG,IAU,IEFA,PDBC,QMHIX,RSSB,SPY,TLT
2024-01-02,7.751784801483154,8.815974235534668,52.22838592529297,33.57421112060547,15.210287094116211,46.083683013916016,38.939998626708984,64.87407684326172,12.146895408630371,7.3635454177856445,20.058944702148438,461.2474670410156,90.06311798095703
2024-01-03,7.717293739318848,8.738301277160645,50.28001403808594,32.92870330810547,15.268047332763672,46.15796661376953,38.63999938964844,64.34263610839844,12.312660217285156,7.3348188400268555,19.920442581176758,457.4805908203125,90.4386978149414
2024-01-04,7.717293739318848,8.718881607055664,50.48876953125,32.821441650390625,15.345061302185059,45.944400787353516,38.66999816894531,64.51045989990234,12.257406234741211,7.344394683837891,19.790536880493164,456.0069885253906,89.06454467773438
2024-01-05,7.708672523498535,8.709172248840332,50.289955139160156,32.85068893432617,15.373942375183105,45.897972106933594,38.65999984741211,64.519775390625,12.321870803833008,7.3348188400268555,19.759016036987305,456.6315002441406,88.2125473022461
2024-01-08,7.725916385650635,8.777137756347656,50.399295806884766,33.146141052246094,15.41244888305664,45.981544494628906,38.369998931884766,65.22838592529297,12.119268417358398,7.392271518707275,20.046527862548828,463.1504211425781,89.08285522460938
2024-01-09,7.734539031982422,8.718881607055664,50.071258544921875,32.879947662353516,15.364315032958984,45.8701171875,38.380001068115234,64.68760681152344,12.229777336120605,7.3252434730529785,19.942413330078125,462.44781494140625,88.51483917236328
2024-01-10,7.751784801483154,8.748010635375977,50.70745849609375,32.78243637084961,15.41244888305664,45.80512237548828,38.29999923706055,65.05123138427734,12.146895408630371,7.344394683837891,20.011186599731445,465.06317138671875,88.10260772705078
2024-01-11,7.751784801483154,8.748010635375977,51.532535552978516,32.69467544555664,15.431702613830566,46.00011444091797,38.369998931884766,65.02325439453125,12.220569610595703,7.3348188400268555,20.080915451049805,464.85821533203125,88.59732055664062
2024-01-12,7.760406494140625,8.79655647277832,50.95597839355469,32.64592742919922,15.527969360351562,46.01868438720703,38.75,65.29364776611328,12.26661491394043,7.344394683837891,20.15541648864746,465.1802062988281,88.42324829101562
2024-01-16,7.734539031982422,8.718881607055664,50.210426330566406,32.372901916503906,15.393195152282715,45.832977294921875,38.38999938964844,64.14684295654297,12.174524307250977,7.258214950561523,19.753284454345703,463.4724426269531,86.86583709716797
2024-01-17,7.708672523498535,8.67033576965332,50.05137634277344,32.17690658569336,15.18140697479248,45.7308349609375,37.95000076293945,63.53146743774414,12.137686729431152,7.229488849639893,19.6109619140625,460.8961486816406,86.72840881347656
2024-01-18,7.717293739318848,8.699463844299316,50.399295806884766,32.46065902709961,15.239167213439941,45.665836334228516,38.27000045776367,64.1002197265625,12.229777336120605,7.239063739776611,19.715076446533203,464.9947814941406,85.92225646972656
2024-01-19,7.717293739318848,8.767428398132324,51.06532669067383,32.66835403442383,15.441330909729004,45.7308349609375,38.38999938964844,64.23075103759766,12.202150344848633,7.296516418457031,19.89751625061035,470.79150390625,86.19709777832031
2024-01-22,7.734539031982422,8.835392951965332,52.58625411987305,33.15882110595703,15.450955390930176,45.79582977294922,38.2400016784668,64.45451354980469,12.26661491394043,7.344394683837891,20.004499435424805,471.78692626953125,86.71012115478516
2024-01-23,7.725916385650635,8.786847114562988,52.11904525756836,33.00670623779297,15.373942375183105,45.70298385620117,38.38999938964844,64.28668975830078,12.321870803833008,7.248640060424805,19.998767852783203,473.1628723144531,86.02302551269531
2024-01-24,7.734539031982422,8.748010635375977,51.592185974121094,32.84971618652344,15.527969360351562,45.65654754638672,38.08000183105469,64.75286865234375,12.42317008972168,7.239063739776611,20.002588272094727,473.6801452636719,85.5191650390625
2024-01-25,7.743159770965576,8.79655647277832,52.70553970336914,33.18905258178711,15.653118133544922,45.80512237548828,38.22999954223633,64.92070007324219,12.50605297088623,7.2869415283203125,20.140134811401367,476.25640869140625,86.0780029296875
2024-01-26,7.751784801483154,8.815974235534668,53.13298797607422,33.23097610473633,15.691624641418457,45.74940872192383,38.18000030517578,65.20974731445312,12.570516586303711,7.3252434730529785,20.14491081237793,475.6513671875,85.91310119628906
2024-01-29,7.760406494140625,8.893648147583008,53.679725646972656,33.4006462097168,15.864906311035156,45.981544494628906,38.459999084472656,65.56403350830078,12.469217300415039,7.392271518707275,20.35791778564453,479.4182434082031,86.90250396728516
2024-01-30,7.760406494140625,8.88393783569336,53.66979217529297,33.448421478271484,15.730132102966309,45.99082565307617,38.5099983215332,65.46147155761719,12.552099227905273,7.3635454177856445,20.343589782714844,479.0473937988281,87.69034576416016
2024-01-31,7.802066802978516,8.85481071472168,51.472900390625,32.79218673706055,15.730132102966309,46.15796661376953,38.4900016784668,65.14447784423828,12.450798034667969,7.3252434730529785,20.190759658813477,471.2306823730469,88.551513671875
2024-02-01,7.819421768188477,8.913066864013672,50.150787353515625,33.18514633178711,15.903413772583008,46.26939010620117,38.88999938964844,65.77848052978516,12.26661491394043,7.4018473625183105,20.531763076782227,477.398193359375,90.28852844238281
