Date,AGG,SPY
2024-01-02,91.24193572998047,461.2474670410156
2024-01-03,91.28812408447266,457.4805908203125
2024-01-04,90.91864013671875,456.0069885253906
2024-01-05,90.70620727539062,456.6315002441406
2024-01-08,91.0479736328125,463.1504211425781
2024-01-09,91.02949523925781,462.44781494140625
2024-01-10,90.85398864746094,465.06317138671875
2024-01-11,91.37125396728516,464.85821533203125
2024-01-12,91.53753662109375,465.1802062988281
2024-01-16,90.85398864746094,463.4724426269531
2024-01-17,90.6045913696289,460.8961486816406
2024-01-18,90.5214614868164,464.9947814941406
2024-01-19,90.5399398803711,470.79150390625
2024-01-22,90.70620727539062,471.78692626953125
2024-01-23,90.48451232910156,473.1628723144531
2024-01-24,90.28129577636719,473.6801452636719
2024-01-25,90.6877212524414,476.25640869140625
2024-01-26,90.58612823486328,475.6513671875
2024-01-29,90.94635009765625,479.4182434082031
2024-01-30,91.12186431884766,479.0473937988281
2024-01-31,91.53753662109375,471.2306823730469
2024-02-01,92.05912780761719,477.398193359375
2024-02-02,91.21603393554688,482.4239501953125
2024-02-05,90.46562957763672,480.6673583984375
2024-02-06,90.9381332397461,482.0628967285156
2024-02-07,90.75283813476562,486.0835266113281
2024-02-08,90.47490692138672,486.2982177734375
2024-02-09,90.44711303710938,489.10870361328125
2024-02-12,90.46562957763672,488.8940124511719
2024-02-13,89.6318588256836,482.160400390625
2024-02-14,90.03022766113281,486.54217529296875
2024-02-15,90.24331665039062,489.8991394042969
2024-02-16,89.95610809326172,487.4595031738281
2024-02-20,90.03948974609375,484.7758483886719
2024-02-21,89.77081298828125,485.2149963378906
2024-02-22,89.8449478149414,495.2567138671875
2024-02-23,90.17845916748047,495.5982971191406
2024-02-26,89.9839096069336,493.7831115722656
2024-02-27,89.86347198486328,494.7004699707031
2024-02-28,90.03948974609375,494.0466003417969
2024-02-29,90.1877212524414,495.82275390625
2024-03-01,90.62069702148438,500.4776306152344
2024-03-04,90.39769744873047,499.94091796875
2024-03-05,90.89017486572266,494.9444580078125
2024-03-06,91.029541015625,497.45245361328125
2024-03-07,91.22467041015625,502.3903503417969
2024-03-08,91.30829620361328,499.3749084472656
2024-03-11,91.20606994628906,498.94549560546875
2024-03-12,90.97381591796875,504.3128662109375
2024-03-13,90.8065414428711,503.52239990234375
2024-03-14,90.23046112060547,502.5269470214844
2024-03-15,90.22117614746094,499.07635498046875
2024-03-18,90.12824249267578,502.04241943359375
2024-03-19,90.35125732421875,504.8323059082031
2024-03-20,90.53709411621094,509.50164794921875
2024-03-21,90.60214233398438,511.1854553222656
2024-03-22,90.89017486572266,510.2162780761719
2024-03-25,90.7229232788086,508.8067321777344
2024-03-26,90.81582641601562,507.8669128417969
2024-03-27,91.1131591796875,512.1349487304688
2024-03-28,91.00167083740234,512.0370483398438
2024-04-01,90.33998107910156,511.1463317871094
2024-04-02,90.27476501464844,507.8963623046875
2024-04-03,90.3306655883789,508.4542541503906
2024-04-04,90.5450210571289,502.2480163574219
2024-04-05,90.09769439697266,507.4949645996094
2024-04-08,90.01382446289062,507.7788391113281
2024-04-09,90.32135772705078,508.3662109375
2024-04-10,89.2403335571289,503.27581787109375
2024-04-11,89.25898742675781,507.07403564453125
2024-04-12,89.42672729492188,500.0748291015625
2024-04-15,88.88619995117188,493.809814453125
2024-04-16,88.63460540771484,492.9091796875
2024-04-17,89.04464721679688,489.9920654296875
2024-04-18,88.79301452636719,488.9837951660156
2024-04-19,88.88619995117188,484.7158203125
2024-04-22,88.94212341308594,489.1795959472656
2024-04-23,89.1285171508789,494.9844970703125
2024-04-24,88.8955307006836,494.74957275390625
2024-04-25,88.64391326904297,492.8700866699219
2024-04-26,88.8396224975586,497.53948974609375
2024-04-29,89.1098861694336,499.301513671875
2024-04-30,88.74641418457031,491.3919372558594
2024-05-01,89.0595703125,489.7963562011719
2024-05-02,89.46154022216797,494.3775634765625
2024-05-03,89.91960906982422,500.5055847167969
2024-05-06,89.98506164550781,505.6741638183594
2024-05-07,90.17202758789062,506.2322692871094
2024-05-08,89.98506164550781,506.2810974121094
2024-05-09,90.1533203125,509.1982116699219
2024-05-10,89.96635437011719,509.85418701171875
2024-05-13,90.0130844116211,509.922607421875
2024-05-14,90.25613403320312,512.2622680664062
2024-05-15,90.85443878173828,518.6055908203125
2024-05-16,90.75160217285156,517.53857421875
2024-05-17,90.4618148803711,518.2825927734375
2024-05-20,90.37767028808594,518.8796997070312
2024-05-21,90.54594421386719,520.1522216796875
2024-05-22,90.43376922607422,518.6546020507812
2024-05-23,90.18136596679688,514.8660888671875
2024-05-24,90.28418731689453,518.2727661132812
2024-05-28,89.86353302001953,518.6349487304688
2024-05-29,89.51762390136719,515.003173828125
2024-05-30,89.93830871582031,511.58673095703125
2024-05-31,90.22809600830078,516.2464599609375
2024-06-03,90.77387237548828,516.6672973632812
2024-06-04,91.1020736694336,517.244873046875
2024-06-05,91.38340759277344,523.3923950195312
2024-06-06,91.41154479980469,523.3826293945312
2024-06-07,90.60506439208984,522.746337890625
2024-06-10,90.53005981445312,524.3615112304688
2024-06-11,90.83950805664062,525.624267578125
2024-06-12,91.27086639404297,529.9413452148438
2024-06-13,91.73039245605469,531.00830078125
2024-06-14,91.82415771484375,531.3314208984375
2024-06-17,91.49593353271484,535.5602416992188
2024-06-18,91.82415771484375,536.9209594726562
2024-06-20,91.66472625732422,535.4623413085938
2024-06-21,91.67411804199219,534.744384765625
2024-06-24,91.7491226196289,533.0061645507812
2024-06-25,91.73975372314453,535.0587158203125
2024-06-26,91.32713317871094,535.7265625
2024-06-27,91.47718811035156,536.5711059570312
2024-06-28,91.02706909179688,534.4595947265625
2024-07-01,90.53884887695312,535.5595703125
2024-07-02,90.83985900878906,539.1636962890625
2024-07-03,91.3290023803711,541.5698852539062
2024-07-05,91.78993225097656,544.6928100585938
2024-07-08,91.81816864013672,545.3213500976562
2024-07-09,91.7334976196289,545.8515625
2024-07-10,91.82756805419922,551.2529296875
2024-07-11,92.29791259765625,546.499755859375
2024-07-12,92.55186462402344,549.9468383789062
2024-07-15,92.2320556640625,551.459228515625
2024-07-16,92.60830688476562,554.7294311523438
2024-07-17,92.67416381835938,546.9515380859375
2024-07-18,92.4201889038086,542.748291015625
2024-07-19,92.2320556640625,539.14404296875
2024-07-22,92.19442749023438,544.70263671875
2024-07-23,92.18502044677734,543.84814453125
2024-07-24,91.90281677246094,531.523193359375
2024-07-25,92.15680694580078,528.7538452148438
2024-07-26,92.48604583740234,534.6757202148438
2024-07-29,92.63655853271484,534.989990234375
2024-07-30,92.73060607910156,532.2794799804688
2024-07-31,93.22915649414062,540.9314575195312
2024-08-01,93.61980438232422,533.2713623046875
2024-08-02,94.6671371459961,523.3427124023438
2024-08-05,94.59165954589844,508.10107421875
2024-08-06,94.02552032470703,512.7855224609375
2024-08-07,93.74243927001953,509.3581237792969
2024-08-08,93.60092163085938,521.1331176757812
2024-08-09,93.93118286132812,523.4310913085938
2024-08-12,94.0915756225586,523.7060546875
2024-08-13,94.46900177001953,532.3187866210938
2024-08-14,94.63883209228516,533.998046875
2024-08-15,94.2425308227539,543.15087890625
2024-08-16,94.46900177001953,544.3687744140625
2024-08-19,94.57279205322266,549.5736083984375
2024-08-20,94.85584259033203,548.679931640625
2024-08-21,95.03511810302734,550.5654907226562
2024-08-22,94.64828491210938,546.244384765625
2024-08-23,95.08231353759766,552.0484619140625
2024-08-26,94.99736785888672,550.7324829101562
2024-08-27,95.02568817138672,551.4887084960938
2024-08-28,94.94078063964844,548.2870483398438
2024-08-29,94.81813049316406,548.3362426757812
2024-08-30,94.59165954589844,553.5706176757812
2024-09-03,94.99107360839844,542.1787109375
